的,dyiex,5/|.的..
西,xeii,1-|.西析昔熙.熹皙醯樨菥.
斯,seii,1-|.斯撕..
月,ywvues,4/~.月.刖.
话,hhvuas,4\~.话..
合,hyhez,2/\.合盒.颌.龢頜
回,huvuiz,2|~.回蛔..迴
特,tyees,4/-.特.铽.
代,dwuais,4/|.代袋贷.黛岱.貸
内,nireis,4|~.内..
信,xyiins,4/|.信衅.囟.舋
表,beeiaov,3--.表..
化,hwuuas,4/|.化..
老,louaov,3-|.老.栳.荖
给,grreiv,3~~.给..給
世,seihis,4-|.事世士势誓逝拭柿.螫贳.
位,wyieis,4/|.位..
次,cheis,4\-.次..
度,dhous,4\-.度..詫
门,mhienz,2\|.门..
任,ryiens,4/|.任.仞.
常,cuhhangz,2|\.常尝..
先,xyeian,1/-.先锨.氙.
海,hhhaiv,3\\.海..
通,tvhong,1~\.通..
教,jeiiao,1-|.教蕉椒.艽茭.萩轇驕
儿,eyrrz,2/~.儿.鲕.胹
原,yowuanz,2-/.原..
东,dovong,1-~.东.鸫.
声,seiheng,1-|.声..聲苼
提,teiiz,2-|.提.醍荑.趧騠蕛
立,lheis,4\-.立痢.疠疬.麜讈
及,jyriz,2/~.及急..脨
比,beriv,3-~.比..粊
员,yuvuanz,2|~.员园圆.螈.
解,jyriev,3/~.解..
水,suvhuiv,3|~.水..
名,myringz,2/~.名..
真,zeihen,1-|.真斟甄.桢榛蓁.
论,lhvuns,4\~.论..
处,cwvhus,4/~.处触..觸臅
走,zououv,3-|.走..
义,yhyis,4\/.义益.熠.義鷁
各,gyres,4/~.各..
入,rwhus,4/\.入..鳰込
几,jyri,1/~.几肌饥..觭
口,kuvouv,3|~.口..
认,rhrens,4\~.认.衽.袵讱
条,tyriaoz,2/~.条.鲦.鰷
平,pehingz,2-\.平..
系,xyris,4/~.系.饩.
气,qyeis,4/-.气迄.憩.
题,tiriz,2|~.题蹄啼..題鶗
活,hhhuoz,2\\.活..
尔,eyrrv,3/~.尔饵.迩.
更,geiengs,4-|.更..
别,biriez,2|~.别..
打,douav,3-|.打..
女,nvwyuv,3~/.女..
变,bheians,4\-.变辩辨辫卞..變辯
四,siris,4|~.四嗣.兕.
神,shrhenz,2\~.神..
总,zhwongv,3\/.总..
何,hyiez,2/|.何..
电,dirians,4|~.电..蜔
数,shwhus,4\/.数..
安,ahhn,1\\.安..鴳
少,suwhaov,3|/.少..
报,bouaos,4-|.报抱..菢
才,couaiz,2-|.才材裁..
结,jrriez,2~~.结..結
反,fwwanv,3//.反返..
受,swhhous,4/\.受..鏉
目,muvus,4|~.目睦..
太,towais,4-/.太态..
量,liriangs,4|~.量晾..
再,zouais,4-|.再载..酨
感,gowanv,3-/.感..
建,jreians,4~-.建..
务,wwvus,4/~.务勿..
做,zwuuos,4/|.作做..
接,jeiie,1-|.接揭..菨
必,bhris,4\~.必.裨.祕禆邲诐袐鴓
场,couhangv,3-|.场..
件,jyiians,4/|.件健.僭.
计,jhris,4\~.计记..
管,gwouanv,3/-.管..筦
期,qeii,1-|.期欺栖.萋桤.
市,shehis,4\-.市..適試諡
直,zeihiz,2-|.直职执植.摭絷埴.職
德,dyyez,2//.德..
资,zhei,1\-.资姿咨.粢.資秶諮
命,myhings,4/\.命..
山,suvhan,1|~.山.跚.
金,jyhin,1/\.金今..
指,zeihiv,3-|.指址.酯芷枳.茝藢
克,keies,4-|.克..礊騍
许,xhvuv,3\~.许.诩.
统,tvvongv,3~~.统..統綂
区,qowu,1-/.区..
保,bwuaov,3/|.保堡..賲
至,zerhis,4-~.至致.郅轾.
队,dvuuis,4~|.队..隊陮
形,xeeingz,2--.形型刑邢..
社,shrhes,4\~.社设..
便,byiians,4/|.便..
空,khhong,1\\.空..鵼
决,jhouez,2\-.决..訣
治,zhhhis,4\\.治滞窒.忮.
展,zvohanv,3~-.展..
马,mvvav,3~~.马..
科,kyee,1/-.科.稞钶.簻
司,srei,1~-.司..
五,wouuv,3-|.五捂..
基,jeii,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
眼,yuvanv,3|~.眼.罨.蝘
书,svvhu,1~~.书.纾.紓綀
非,fieei,1|-.非.蜚.
则,zirez,2|~.则.啧帻.蠌
听,tiring,1|~.听..
白,bwuaiz,2/|.白..
却,qouues,4-|.却鹊榷.悫.鵲
界,jiries,4|~.界.蚧骱.蛶
达,dowaz,2-/.达..迏
光,guhuang,1|\.光..
放,fhoangs,4\-.放..
强,qreiangz,2~-.强..
即,jreiz,2~-.即..
像,xyiiangs,4/|.向像..
难,nvhanz,2~\.难..
且,qiriev,3|~.且..
权,qouuanz,2-|.权颧醛.荃鬈.葲顴
思,siri,1|~.思嘶.咝蛳.
王,wooangz,2--.王..
象,xyriangs,4/~.象..鱌
完,whhanz,2\\.完..
设,shrhes,4\~.社设..
式,seehis,4--.式示..
色,syres,4/~.色..
路,luvus,4|~.路赂.鹭.睩賂鷺
记,jhris,4\~.计记..
南,nouanz,2-|.南.楠.難
品,pirinv,3|~.品..
住,zwuhus,4/|.住.伫.
告,gwoaos,4/-.告.锆郜.
类,lhyeis,4\/.类..類
求,qeiiuz,2-|.求.裘逑.
据,jouus,4-|.据聚拒.苣醵.
程,cyehengz,2/-.程乘.铖.
北,bieeiv,3|-.北..
边,bryian,1~/.边..
死,seyiv,3-/.死..
张,zvohang,1~-.张..
该,ghvai,1\~.该..
交,jheiao,1\-.交郊..
规,gooui,1--.规瑰..規鬶
万,wovans,4-~.万..
取,qouuv,3-|.取娶..
拉,loua,1-|.拉垃..
格,geiez,2-|.格革葛.鬲塥.騔轕
望,whoangs,4\-.望忘妄..
觉,jhhuez,2\\.觉..
术,souhus,4-|.术述树束..豎蒁鶐
领,lyhingv,3/\.领..領
共,gouongs,4-|.共贡..貢
确,qowues,4-/.确..確
传,cwuhuanz,2/|.传..
师,siyhi,1|/.师..
观,gvhuan,1~\.观..
清,qhhing,1\\.清..
今,jyhin,1/\.金今..
切,qerie,1-~.切..
院,yvuuans,4~|.院..
让,rhvangs,4\~.让..
识,shrhiz,2\~.识..祏
候,hwuous,4/|.候..
带,douais,4-|.带戴.埭.
导,dvoaov,3~-.导..
争,zyrheng,1/~.争狰..
运,yoouns,4--.运.韫.
笑,xyeiaos,4/-.笑..
飞,fryei,1~/.飞.妃.飛
风,fyreng,1/~.风..風
步,buous,4|-.步..
改,gvoaiv,3~-.改..
收,svuhou,1~|.收..
根,geien,1-|.根..
干,gooan,1--.干..
造,zwoaos,4/-.造..
言,yhoanz,2\-.言颜..顏麣訮
联,leiianz,2-|.联莲..連蓮聯鬑聫
持,ceihiz,2-|.持.墀坻茌.馳
组,zvvuv,3~~.组..組
每,myeeiv,3/-.每镁..
济,jhhis,4\\.济寄寂悸.洎.
车,cerhe,1-~.车..
亲,qhein,1\-.亲..親
极,jeiiz,2-|.极吉藉棘.楫蒺蕺.鞊趌
林,leiinz,2-|.林..臨驎
服,fwvuz,2/~.服.匐凫.鮄
快,khhuais,4\\.快..
办,bvwans,4~/.办..
议,yhris,4\~.议译谊诣..袣褹
往,wwwangv,3//.往..
元,yoouanz,2--.元.鼋.黿
英,yeiing,1-|.英樱.莺撄.
士,seihis,4-|.事世士势誓逝拭柿.螫贳.
证,zhrhengs,4\~.证.诤.
近,jyyins,4//.近..
失,syehi,1/-.失..
转,zovhuanv,3-~.转..
夫,foou,1--.夫.麸.
令,lyhings,4/\.令..
准,zhohunv,3\-.准..
布,bowus,4-/.不布..
始,sryhiv,3~/.始..
怎,zyeenv,3/-.怎..
呢,nirex,5|~.呢..
存,cowunz,2-/.存..
未,weeeis,4--.未..
远,yoouanv,3--.远..
叫,jiriaos,4|~.叫.峤噍.覐
台,tvhaiz,2~\.台.邰炱.
单,dhwan,1\/.单郸..
影,yiringv,3|~.影.郢.
具,juvus,4|~.具距踞.瞿.
罗,luvuoz,2|~.罗逻螺..羅邏
字,zhhis,4\\.字渍..
爱,awhis,4/\.爱..鑀
击,jeei,1--.击.玑.
流,lhhiuz,2\\.流.浏鎏.
备,byreis,4/~.备惫狈..
兵,byiing,1/|.兵..
连,lerianz,2-~.连..
调,dhriaos,4\~.调..
深,shhhen,1\\.深..
商,shohang,1\-.商..謪
算,swouans,4/-.算..笇筭
质,zyyhis,4//.质..質
团,tuvuanz,2|~.团..
集,jyiiz,2/|.集.佶.
百,bowaiv,3-/.百..
需,xohu,1-\.需..
价,jyiias,4/|.价..
花,houua,1-|.花..
党,duhangv,3|\.党..黨
华,hwuuaz,2/|.华..
城,ceihengz,2-|.城橙.枨酲埕.
石,seyhiz,2-/.石..
级,jrriz,2~~.级..級
整,zeihengv,3-|.整拯..
府,fhouv,3\-.府腐..
离,lheiz,2\-.离..離謧
况,khouangs,4\-.况.邝.鄺
亚,youas,4-|.亚.揠.輵襾
请,qhringv,3\~.请..
技,jeiis,4-|.技蓟.髻芰荠.繫蟿繋驥
际,jriis,4~|.际..際
约,yvvue,1~~.约..約
示,seehis,4--.式示..
复,fwous,4/-.复.馥.
病,bheings,4\-.病..竝
息,xyii,1/|.息.僖鼷.
究,jhhiu,1\\.究..
线,xrrians,4~~.线..線
似,syiis,4/|.似.俟.
官,ghhuan,1\\.官..窤
火,hhwuov,3\/.火..
断,dhwuans,4\/.断.煅.
精,jhying,1\/.精粳..
满,mhhanv,3\\.满..
支,zeihi,1-|.支枝芝.栀.鳷
视,shrhis,4\~.视试.谥.視襫
消,xhhiao,1\\.消宵.潇.
越,youues,4-|.越.樾.趯軏
器,qiris,4|~.器..
容,rhhongz,2\\.容溶..
照,zuvhaos,4|~.照罩..
须,xwwu,1//.须..須
九,jyriuv,3/~.九久灸..
增,zeieng,1-|.增..
研,yowanz,2-/.研..硏
写,xhriev,3\~.写..
称,cyeheng,1/-.称.铛.稱
企,qyhiv,3/\.企..
八,bwha,1/\.八..釟
功,gouong,1-|.工功攻恭..
吗,muvax,5|~.吗嘛.蟆.
包,bwvao,1/~.包胞..
片,pyiians,4/|.片..
史,sirhiv,3|~.史..
委,wyeeiv,3/-.委..
乎,hwhu,1/\.乎..
查,couhaz,2-|.查茶茬搽.楂槎檫.
轻,qering,1-~.轻..
易,yiris,4|~.易邑屹.呓蜴峄.睪蛡鶍螠
早,zuvaov,3|~.早..
曾,chyengz,2\/.曾..
除,cvuhuz,2~|.除..
农,nhvongz,2\~.农..襛
找,zouhaov,3-|.找..
装,zhohuang,1\-.装庄妆..
广,ghouangv,3\-.广..
显,xirianv,3|~.显.蚬跣.顯蜆顕
吧,buvax,5|~.吧..
阿,avu,1~|.阿..
李,leiiv,3-|.李.醴逦.
标,beiiao,1-|.标.杓髟.藨
谈,thvanz,2\~.谈谭..
吃,cirhi,1|~.吃.嗤哧螭眵.
图,tuvuz,2|~.图..
念,nyhians,4/\.念..
六,lheius,4\-.六..
引,yreinv,3~-.引尹..
历,leyis,4-/.历厉励砾.砺.磿
首,shwhouv,3\/.首..
医,yeyi,1-/.医.欹.醫鷖
局,jvouz,2~-.局..
突,thhu,1\\.突..
专,zoohuan,1--.专..
费,freeis,4~-.费..費
号,huvaos,4|~.号.昊颢.號
尽,jreins,4~-.尽..盡賮
另,lirings,4|~.另..
周,zwvhou,1/~.周..週
较,jeriaos,4-~.较轿..
注,zhhhus,4\\.注..
语,yhvuv,3\~.语..祤
仅,jyiinv,3/|.仅..
考,kouaov,3-|.考拷.栲.
落,louuos,4-|.落.摞荦.茖
青,qeeing,1--.青..鶄
随,svuuiz,2~|.随隋..隨
选,xwouanv,3/-.选..
列,leyies,4-/.列烈裂..
武,woouv,3--.武.鹉.
红,hvvongz,2~~.红..紅纮紭紘
响,xiriangv,3|~.响..
虽,suvui,1|~.虽.睢眭.雖
推,touui,1-|.推..藬蓷
势,seihis,4-|.事世士势誓逝拭柿.螫贳.
参,cvhan,1~\.参..
希,xyhi,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
古,gouuv,3-|.古鼓贾.嘏瞽.盬糓
众,zwhhongs,4/\.众..
构,gouous,4-|.构垢.彀.
房,fhvangz,2\~.房..
半,bhwans,4\/.半..
节,jeiiez,2-|.节杰截捷劫桔.颉拮.蓵
土,touuv,3-|.土..
投,tououz,2-|.投..頭
某,mououv,3-|.某..
案,ahhns,4\\.案..
黑,hirei,1|~.黑嘿..黒
维,wrreiz,2~~.维..維
革,geiez,2-|.格革葛.鬲塥.騔轕
划,hovuaz,2-~.划..
敌,dyeiz,2/-.敌笛..篴
致,zerhis,4-~.至致.郅轾.
陈,crihenz,2~|.陈..陳
律,lwwyus,4//.律..
足,zuvuz,2|~.足..
态,towais,4-/.太态..
护,houus,4-|.护..
七,qeri,1-~.七妻..郪鶈
兴,xhhings,4\\.性兴.悻.
派,phhais,4\\.派湃..
孩,hvuaiz,2~|.孩..
验,yvvans,4~~.验..
责,zeeez,2--.责..責
营,yeiingz,2-|.营莹荧萤.萦楹茔蓥.藀
星,xiring,1|~.星..
够,gwvous,4/~.够..雊
章,zhohang,1\-.章彰.鄣.麞
音,yhein,1\-.音..
跟,giren,1|~.跟..
志,zeihis,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
底,dheiv,3\-.底..
站,zhohans,4\-.站..
严,youanz,2-|.严盐.檐.鹽莚
巴,bvua,1~|.巴..
例,lyiis,4/|.例俐傈.俪.
防,fvuangz,2~|.防..
族,zhouz,2\-.族..
供,gwuong,1/|.供躬..
效,xheiaos,4\-.效..詨
续,xvvus,4~~.续绪..續緒
施,shehi,1\-.施..詩
留,lyriuz,2/~.留馏.遛.鰡飗飀鹠
讲,jhriangv,3\~.讲..
型,xeeingz,2--.形型刑邢..
料,lhyiaos,4\/.料..
终,zvvhong,1~~.终..終
答,dwoaz,2/-.答.笪.
紧,jiiinv,3||.紧..
黄,houuangz,2-|.黄..黃葟
绝,jvvuez,2~~.绝..絕絶
奇,qeyiz,2-/.奇..
察,chhhaz,2\\.察..
母,mvvuv,3~~.母..
京,jheing,1\-.京.旌.麖
段,dwuuans,4/|.段..
依,yyii,1/|.依伊..
批,peii,1-|.批披坯..
群,qvounz,2~-.群..
项,xeiiangs,4-|.项巷橡..項
故,gouus,4-|.故.梏.
按,aouns,4-|.按..
河,hhhez,2\\.河涸..
米,mhyiv,3\/.米.敉.粎
围,wireiz,2|~.围唯.帷嵬帏.
江,jhhiang,1\\.江..
织,zrrhi,1~~.织..織
害,hhhais,4\\.害..
斗,dhhouv,3\\.斗..
双,svhhuang,1~\.双..
境,jeiings,4-|.境敬..
客,khhes,4\\.客.恪溘.
纪,jrris,4~~.纪继绩.骥.繼紀
采,cwhaiv,3/\.采彩..
举,jhhuv,3\\.举沮..
杀,swhha,1/\.杀刹..閷
攻,gouong,1-|.工功攻恭..
父,fwhus,4/\.父..鍑
苏,souu,1-|.苏酥..蘇蘓
密,mhhis,4\\.密蜜.宓汨.
低,dyii,1/|.低..
朝,couhaoz,2-|.朝..
友,yowouv,3-/.有友..
诉,shvus,4\~.诉.谡.
止,ziehiv,3|-.止..
细,xrris,4~~.细..細绤
愿,yowuans,4-/.愿..願
千,qyeian,1/-.千签迁铅钎..籤箞簽
值,zyihiz,2/|.值侄..
仍,ryiengz,2/|.仍..
男,nuvanz,2|~.男.喃.
钱,qyeianz,2/-.钱钳.钤箝.
破,powos,4-/.破..
网,wuvangv,3|~.网.罔.蝄
热,reies,4-|.热..
助,zuvhus,4|~.助贮蛀..貯跓
倒,dwuaov,3/|.倒..
育,yhous,4\-.育..袬
属,svohuv,3~-.属..
坐,zwhuos,4/\.坐..
帝,dheis,4\-.帝..諦
限,xriians,4~|.限陷..
船,cwwhuanz,2//.船.舡.
脸,lyrianv,3/~.脸..臉
职,zeihiz,2-|.直职执植.摭絷埴.職
速,souus,4-|.速粟.蔌.驌藗
刻,khees,4\-.刻..課
乐,lyres,4/~.乐.鳓.
否,fowouv,3-/.否..
刚,guvang,1|~.刚冈.罡.
威,weyei,1-/.威..
毛,mwoaoz,2/-.毛锚.牦.
状,zhohuangs,4\-.状壮..
率,lhoyus,4\-.率..
甚,seihens,4-|.甚.椹.腎
独,dwvuz,2/~.独..
球,qeeiuz,2--.球..
般,bwwan,1//.般..
普,phwuv,3\/.普..
怕,phhas,4\\.怕..
弹,dvoans,4~-.弹..饏
校,xeiiaos,4-|.校孝..
苦,kouuv,3-|.苦..
创,cwhhuangs,4/\.创..
假,jyiiav,3/|.假..
久,jyriuv,3/~.九久灸..
错,cwouos,4/-.错.锉.
承,crihengz,2~|.承.丞.
印,yyrins,4/~.印.胤.
晚,wuvanv,3|~.晚.畹.
兰,lhwanz,2\/.兰..
试,shrhis,4\~.视试.谥.視襫
股,gwvuv,3/~.股.臌.馉脵
拿,nwhaz,2/\.拿..
脑,nwvaov,3/~.脑..腦脳
预,yvhus,4~\.预豫.鹬.預遹矞翑
谁,shvhuiz,2\~.谁..
益,yhyis,4\/.义益.熠.義鷁
阳,yvuangz,2~|.阳..陽
若,rouuos,4-|.若..蒻
哪,nuvav,3|~.哪..
微,wyyei,1//.微..
尼,nreiz,2~-.尼..
继,jrris,4~~.纪继绩.骥.繼紀
送,shwongs,4\/.送..
急,jyriz,2/~.及急..脨
血,xwuues,4/|.血..
惊,jhhing,1\\.惊.泾.
伤,swuhang,1/|.伤..
素,soous,4--.素..
药,youaos,4-|.要药..藥靿葯
适,syehis,4/-.适.舐筮铈.籂
波,bhho,1\\.波..
夜,yhees,4\-.夜..
省,siyhengv,3|/.省..
初,chvhu,1\~.初..
喜,xeiiv,3-|.喜.葸蓰.
卫,wrieis,4~|.卫..
源,yhhuanz,2\\.源.沅.
食,syhhiz,2/\.食..鉐蝕鉽
险,xriianv,3~|.险..險
待,dwwais,4//.待..艜
述,souhus,4-|.术述树束..豎蒁鶐
陆,lvuus,4~|.陆..陸
习,xrhiz,2~\.习..習
置,zirhis,4|~.置帜峙.蛭帙踬.跱
居,jvou,1~-.居..
劳,louaoz,2-|.劳.醪.
财,cuvaiz,2|~.财..財
环,hoouanz,2--.环..
排,pouaiz,2-|.排..
福,fhvuz,2\~.福袱.祓.複
纳,nvvas,4~~.纳..納
欢,hvhuan,1~\.欢..
雷,leheiz,2-\.雷..
警,jeiingv,3-|.警..蟼
获,houuos,4-|.或获惑.藿.
模,mouoz,2-|.模摹蘑..謩
充,chohong,1\-.充冲..
负,fwvus,4/~.负腹.鲋鳆.負
云,yoounz,2--.云耘..
停,tyiingz,2/|.停..鼮
木,mouus,4-|.木幕墓慕募暮.苜.
游,yhhouz,2\\.游油..
龙,lowongz,2-/.龙聋.砻.龓
树,souhus,4-|.术述树束..豎蒁鶐
疑,yyriz,2/~.疑胰.饴.迻
层,creengz,2~-.层..
冷,lheengv,3\-.冷..
洲,zhhhou,1\\.洲..
冲,chohong,1\-.充冲..
射,syihes,4/|.射..
略,luvyues,4|~.略..
范,fouans,4-|.范.梵.軓
竟,jheings,4\-.竟竞净靖痉..競竸
句,jwvus,4/~.句.飓.
室,shhhis,4\\.室恃..
异,yreis,4~-.异..
激,jhhi,1\\.激..
汉,hhhans,4\\.汉汗憾悍.瀚.
村,couun,1-|.村..
哈,huva,1|~.哈..
策,cyees,4/-.策..箣
演,yhhanv,3\\.演..
简,jyeianv,3/-.简.锏笕.簡
卡,kuoav,3|-.卡..
罪,zuvuis,4|~.最罪..
判,phwans,4\/.判叛..
担,douan,1-|.担耽.聃.酖聸
州,zhwhou,1\/.州..
静,jeeings,4--.静.靓.靜
退,tvouis,4~-.退..
既,jreis,4~-.既忌.暨.鵋鱀
衣,yhei,1\-.衣..
您,nyiinz,2/|.您.恁.
宗,zhhong,1\\.宗..
积,jyei,1/-.积稽箕.嵇犄笄.積稘
余,ywhuz,2/\.余逾俞.觎.餘貗釪
痛,thoongs,4\-.痛..
检,jeiianv,3-|.检捡拣柬茧.戬枧.鬋醎
差,chwhas,4\/.差..
富,fhhus,4\\.富..
灵,lreingz,2~-.灵..
协,xeiiez,2-|.协鞋携.撷.
角,jyriaov,3/~.角脚狡饺..腳
占,zuohan,1|-.占..
配,peieis,4-|.配..茷
征,zyyheng,1//.征.徵.
修,xyiiu,1/|.修休.鸺.鵂
皮,pryiz,2~/.皮..
挥,houui,1-|.挥..
胜,syrhengs,4/~.胜..賸
降,jriiangs,4~|.降..
阶,jriie,1~|.阶..階
审,shhhenv,3\\.审沈.渖.
沉,chhhenz,2\\.沉忱.宸.
坚,jiiian,1||.坚监..
善,shwhans,4\/.善.鄯剡.
妈,mvwa,1~/.妈.嬷.
刘,lheiuz,2\-.刘瘤.旒.
读,dhvuz,2\~.读..
啊,auvx,5|~.啊..
超,couhao,1-|.超抄..
免,myrianv,3/~.免勉.腼.
压,yowa,1-/.压..
银,yyeinz,2/-.银..
买,mvhaiv,3~\.买..
皇,hwuuangz,2/|.皇.遑.
养,yhwangv,3\/.养..養
伊,yyii,1/|.依伊..
怀,hhhuaiz,2\\.怀淮..
执,zeihiz,2-|.直职执植.摭絷埴.職
副,fouus,4-|.副覆赴..蕧
乱,lwouans,4/-.乱..
抗,kouangs,4-|.抗..
犯,fwvans,4/~.犯饭..
追,zwuhui,1/|.追.隹.
帮,booang,1--.帮邦..邫
宣,xhhuan,1\\.宣..翧
佛,fwuoz,2/|.佛..
岁,suvuis,4|~.岁..
航,hwwangz,2//.航..
优,ywuou,1/|.优悠.攸.
怪,ghhuais,4\\.怪..
香,xyeiang,1/-.香箱镶..
著,zouhus,4-|.著柱.杼苎翥.苧駐
田,tirianz,2|~.田.畋.瞋鴫
铁,tyeiev,3/-.铁..
控,kouongs,4-|.控..鞚
税,swohuis,4/-.税..稅
左,zowuov,3-/.左..
右,yowous,4-/.右..
份,fyiens,4/|.份.偾.
穿,chhhuan,1\\.穿..
艺,yeiis,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
背,bieeis,4|-.背辈.邶.輩
阵,zrihens,4~|.阵..陣
草,couaov,3-|.草..
脚,jyriaov,3/~.角脚狡饺..腳
概,gouais,4-|.概.丐.蓋葢
恶,eeis,4-|.恶扼.噩萼垩苊.蕚軛蘁
块,kouuais,4-|.块..駃
顿,dovuns,4-~.顿..頓
敢,gvoanv,3~-.敢..
守,shhhouv,3\\.守..
酒,jhhiuv,3\\.酒..
岛,dwvaov,3/~.岛..
托,touuo,1-|.托拖..
