的,dehhr,5/|.的..
章,zhangy,1\-.章彰.鄣.麞
音,yiny,1\-.音..
跟,genm,1|~.跟..
志,zhihf,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
底,diiy,3\-.底..
站,zhahny,4\-.站..
严,yyanf,2-|.严盐.檐.鹽莚
巴,bab,1~|.巴..
例,lihr,4/|.例俐傈.俪.
防,ffangb,2~|.防..
族,zzuy,2\-.族..
供,gongr,1/|.供躬..
效,xiaohy,4\-.效..詨
续,xuhx,4~~.续绪..續緒
施,shiy,1\-.施..詩
留,lliuq,2/~.留馏.遛.鰡飗飀鹠
讲,jiaangp,3\~.讲..
型,xxingg,2--.形型刑邢..
料,liaohi,4\/.料..
终,zhongx,1~~.终..終
答,ddat,2/-.答.笪.
紧,jiinj,3||.紧..
黄,hhuangf,2-|.黄..黃葟
绝,jjuex,2~~.绝..絕絶
奇,qqid,2-/.奇..
察,cchao,2\\.察..
母,muux,3~~.母..
京,jingy,1\-.京.旌.麖
段,duahnr,4/|.段..
依,yir,1/|.依伊..
批,pif,1-|.批披坯..
群,qqunn,2~-.群..
项,xiahngf,4-|.项巷橡..項
故,guhf,4-|.故.梏.
按,ahnf,4-|.按..
河,hheo,2\\.河涸..
米,miii,3\/.米.敉.粎
围,wweim,2|~.围唯.帷嵬帏.
江,jiango,1\\.江..
织,zhix,1~~.织..織
害,haiho,4\\.害..
斗,doouo,3\\.斗..
双,shuangc,1~\.双..
境,jihngf,4-|.境敬..
客,keho,4\\.客.恪溘.
纪,jihx,4~~.纪继绩.骥.繼紀
采,caaiw,3/\.采彩..
举,juuo,3\\.举沮..
杀,shaw,1/\.杀刹..閷
攻,gongf,1-|.工功攻恭..
父,fuhw,4/\.父..鍑
苏,suf,1-|.苏酥..蘇蘓
密,miho,4\\.密蜜.宓汨.
低,dir,1/|.低..
朝,cchaof,2-|.朝..
友,yooud,3-/.有友..
诉,suhp,4\~.诉.谡.
止,zhiih,3|-.止..
细,xihx,4~~.细..細绤
愿,yuahnd,4-/.愿..願
千,qiant,1/-.千签迁铅钎..籤箞簽
值,zzhir,2/|.值侄..
仍,rrengr,2/|.仍..
男,nnanm,2|~.男.喃.
钱,qqiant,2/-.钱钳.钤箝.
破,pohd,4-/.破..
网,waangm,3|~.网.罔.蝄
热,rehf,4-|.热..
助,zhuhm,4|~.助贮蛀..貯跓
倒,daaor,3/|.倒..
育,yuhy,4\-.育..袬
属,shuun,3~-.属..
坐,zuohw,4/\.坐..
帝,dihy,4\-.帝..諦
限,xiahnb,4~|.限陷..
船,cchuane,2//.船.舡.
脸,liaanq,3/~.脸..臉
职,zzhif,2-|.直职执植.摭絷埴.職
速,suhf,4-|.速粟.蔌.驌藗
刻,kehy,4\-.刻..課
乐,lehq,4/~.乐.鳓.
否,fooud,3-/.否..
刚,gangm,1|~.刚冈.罡.
威,weid,1-/.威..
毛,mmaot,2/-.毛锚.牦.
状,zhuahngy,4\-.状壮..
率,lyuhy,4\-.率..
甚,shehnf,4-|.甚.椹.腎
独,dduq,2/~.独..
球,qqiug,2--.球..
般,bane,1//.般..
普,puui,3\/.普..
怕,paho,4\\.怕..
弹,dahnn,4~-.弹..饏
校,xiaohf,4-|.校孝..
苦,kuuf,3-|.苦..
创,chuahngw,4/\.创..
假,jiaar,3/|.假..
久,jiuuq,3/~.九久灸..
错,cuoht,4/-.错.锉.
承,cchengb,2~|.承.丞.
印,yihnq,4/~.印.胤.
晚,waanm,3|~.晚.畹.
兰,llani,2\/.兰..
试,shihp,4\~.视试.谥.視襫
股,guuq,3/~.股.臌.馉脵
拿,nnaw,2/\.拿..
脑,naaoq,3/~.脑..腦脳
预,yuhc,4~\.预豫.鹬.預遹矞翑
谁,sshuip,2\~.谁..
益,yihi,4\/.义益.熠.義鷁
阳,yyangb,2~|.阳..陽
若,ruohf,4-|.若..蒻
哪,naam,3|~.哪..
微,weie,1//.微..
尼,nnin,2~-.尼..
继,jihx,4~~.纪继绩.骥.繼紀
送,sohngi,4\/.送..
急,jjiq,2/~.及急..脨
血,xuehr,4/|.血..
惊,jingo,1\\.惊.泾.
伤,shangr,1/|.伤..
素,suhg,4--.素..
药,yaohf,4-|.要药..藥靿葯
适,shiht,4/-.适.舐筮铈.籂
波,boo,1\\.波..
夜,yehy,4\-.夜..
省,sheengk,3|/.省..
初,chup,1\~.初..
喜,xiif,3-|.喜.葸蓰.
卫,weihb,4~|.卫..
源,yyuano,2\\.源.沅.
食,sshiw,2/\.食..鉐蝕鉽
险,xiaanb,3~|.险..險
待,daihe,4//.待..艜
述,shuhf,4-|.术述树束..豎蒁鶐
陆,luhb,4~|.陆..陸
习,xxic,2~\.习..習
置,zhihm,4|~.置帜峙.蛭帙踬.跱
居,jun,1~-.居..
劳,llaof,2-|.劳.醪.
财,ccaim,2|~.财..財
环,hhuang,2--.环..
排,ppaif,2-|.排..
福,ffup,2\~.福袱.祓.複
纳,nahx,4~~.纳..納
欢,huanc,1~\.欢..
雷,lleis,2-\.雷..
警,jiingf,3-|.警..蟼
获,huohf,4-|.或获惑.藿.
模,mmof,2-|.模摹蘑..謩
充,chongy,1\-.充冲..
负,fuhq,4/~.负腹.鲋鳆.負
云,yyung,2--.云耘..
停,ttingr,2/|.停..鼮
木,muhf,4-|.木幕墓慕募暮.苜.
游,yyouo,2\\.游油..
龙,llongd,2-/.龙聋.砻.龓
树,shuhf,4-|.术述树束..豎蒁鶐
疑,yyiq,2/~.疑胰.饴.迻
层,ccengn,2~-.层..
冷,leengy,3\-.冷..
洲,zhouo,1\\.洲..
冲,chongy,1\-.充冲..
射,shehr,4/|.射..
略,lyuehm,4|~.略..
范,fahnf,4-|.范.梵.軓
竟,jihngy,4\-.竟竞净靖痉..競竸
句,juhq,4/~.句.飓.
室,shiho,4\\.室恃..
异,yihn,4~-.异..
激,jio,1\\.激..
汉,hahno,4\\.汉汗憾悍.瀚.
村,cunf,1-|.村..
哈,ham,1|~.哈..
策,ceht,4/-.策..箣
演,yaano,3\\.演..
简,jiaant,3/-.简.锏笕.簡
卡,kaah,3|-.卡..
罪,zuihm,4|~.最罪..
判,pahni,4\/.判叛..
担,danf,1-|.担耽.聃.酖聸
州,zhoui,1\/.州..
静,jihngg,4--.静.靓.靜
退,tuihn,4~-.退..
既,jihn,4~-.既忌.暨.鵋鱀
衣,yiy,1\-.衣..
您,nninr,2/|.您.恁.
宗,zongo,1\\.宗..
积,jit,1/-.积稽箕.嵇犄笄.積稘
余,yyuw,2/\.余逾俞.觎.餘貗釪
痛,tohngy,4\-.痛..
检,jiaanf,3-|.检捡拣柬茧.戬枧.鬋醎
差,chahi,4\/.差..
富,fuho,4\\.富..
灵,llingn,2~-.灵..
协,xxief,2-|.协鞋携.撷.
角,jiaaoq,3/~.角脚狡饺..腳
占,zhanh,1|-.占..
配,peihf,4-|.配..茷
征,zhenge,1//.征.徵.
修,xiur,1/|.修休.鸺.鵂
皮,ppiv,2~/.皮..
挥,huif,1-|.挥..
胜,shehngq,4/~.胜..賸
降,jiahngb,4~|.降..
阶,jieb,1~|.阶..階
审,sheeno,3\\.审沈.渖.
沉,ccheno,2\\.沉忱.宸.
坚,jianj,1||.坚监..
善,shahni,4\/.善.鄯剡.
妈,mav,1~/.妈.嬷.
刘,lliuy,2\-.刘瘤.旒.
读,ddup,2\~.读..
啊,ahhm,5|~.啊..
超,chaof,1-|.超抄..
免,miaanq,3/~.免勉.腼.
压,yad,1-/.压..
银,yyint,2/-.银..
买,maaic,3~\.买..
皇,hhuangr,2/|.皇.遑.
养,yaangi,3\/.养..養
伊,yir,1/|.依伊..
怀,hhuaio,2\\.怀淮..
执,zzhif,2-|.直职执植.摭絷埴.職
副,fuhf,4-|.副覆赴..蕧
乱,luahnt,4/-.乱..
抗,kahngf,4-|.抗..
犯,fahnq,4/~.犯饭..
追,zhuir,1/|.追.隹.
帮,bangg,1--.帮邦..邫
宣,xuano,1\\.宣..翧
佛,ffor,2/|.佛..
岁,suihm,4|~.岁..
航,hhange,2//.航..
优,your,1/|.优悠.攸.
怪,guaiho,4\\.怪..
香,xiangt,1/-.香箱镶..
著,zhuhf,4-|.著柱.杼苎翥.苧駐
田,ttianm,2|~.田.畋.瞋鴫
铁,tieet,3/-.铁..
控,kohngf,4-|.控..鞚
税,shuiht,4/-.税..稅
左,zuood,3-/.左..
右,youhd,4-/.右..
份,fehnr,4/|.份.偾.
穿,chuano,1\\.穿..
艺,yihf,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
背,beihh,4|-.背辈.邶.輩
阵,zhehnb,4~|.阵..陣
草,caaof,3-|.草..
脚,jiaaoq,3/~.角脚狡饺..腳
概,gaihf,4-|.概.丐.蓋葢
恶,ehf,4-|.恶扼.噩萼垩苊.蕚軛蘁
块,kuaihf,4-|.块..駃
顿,duhna,4-~.顿..頓
敢,gaann,3~-.敢..
守,shoouo,3\\.守..
酒,jiuuo,3\\.酒..
岛,daaoq,3/~.岛..
托,tuof,1-|.托拖..
央,yangm,1|~.央鸯..鴦眏
户,huhp,4\~.户.扈祜戽.
烈,liehd,4-/.列烈裂..
洋,yyango,2\\.洋..
哥,gef,1-|.哥歌搁.圪.
索,suoof,3-|.索..
胡,hhuf,2-|.胡壶葫.鹕槲觳醐.縠
款,kuaanf,3-|.款..
靠,kaoht,4/-.靠.铐犒.
评,ppingp,2\~.评..
版,baanr,3/|.版..
宝,baaoo,3\\.宝..
座,zuohy,4\-.座..
释,shihw,4/\.释.弑.釋鉃鈰飾
景,jiingm,3|~.景..
顾,guhd,4-/.顾..頋
弟,dihi,4\/.弟递..
登,dengc,1~\.登..
货,huohr,4/|.货..貨
互,huha,4-~.互..
付,fuhr,4/|.付傅阜..
伯,bbor,2/|.伯帛..
慢,mahno,4\\.慢漫..
欧,oud,1-/.欧殴鸥.瓯.
换,huahnf,4-|.换.擐.藧
闻,wwenu,2\|.闻.阌.
危,weiq,1/~.危..鳂
忙,mmango,2\\.忙..
核,hhef,2-|.核荷菏.盍翮.鞨麧覈
暗,ahnm,4|~.暗岸.黯.
姐,jieev,3~/.姐..
