的,daiehh,5/|.的..
西,xeii,1-|.西析昔熙.熹皙醯樨菥.
斯,seii,1-|.斯撕..
月,yaoueeh,4/~.月.刖.
话,huouaah,4\~.话..
合,haueh,2/\.合盒.颌.龢頜
回,hiouih,2|~.回蛔..迴
特,taeeeh,4/-.特.铽.
代,daiaaih,4/|.代袋贷.黛岱.貸
内,nioeeih,4|~.内..
信,xaiiihn,4/|.信衅.囟.舋
表,beeiaao,3--.表..
化,haiuaah,4/|.化..
老,leiaao,3-|.老.栳.荖
给,gooeei,3~~.给..給
世,sheiiih,4-|.事世士势誓逝拭柿.螫贳.
位,waieeih,4/|.位..
次,cueiih,4\-.次..
度,dueuuh,4\-.度..詫
门,muiehn,2\|.门..
任,raieehn,4/|.任.仞.
常,chiuahng,2|\.常尝..
先,xaeian,1/-.先锨.氙.
海,huuaai,3\\.海..
通,touong,1~\.通..
教,jeiiao,1-|.教蕉椒.艽茭.萩轇驕
儿,aoehr,2/~.儿.鲕.胹
原,yeauahn,2-/.原..
东,deoong,1-~.东.鸫.
声,sheieng,1-|.声..聲苼
提,teiih,2-|.提.醍荑.趧騠蕛
立,lueiih,4\-.立痢.疠疬.麜讈
及,jaoih,2/~.及急..脨
比,beoii,3-~.比..粊
员,yiouahn,2|~.员园圆.螈.
解,jaoiee,3/~.解..
水,shiouii,3|~.水..
名,maoihng,2/~.名..
真,zheien,1-|.真斟甄.桢榛蓁.
论,luouuhn,4\~.论..
处,chaouuh,4/~.处触..觸臅
走,zeioou,3-|.走..
义,yuaiih,4\/.义益.熠.義鷁
各,gaoeeh,4/~.各..
入,rauuuh,4/\.入..鳰込
几,jaoi,1/~.几肌饥..觭
口,kiooou,3|~.口..
认,ruoeehn,4\~.认.衽.袵讱
条,taoiaoh,2/~.条.鲦.鰷
平,peuihng,2-\.平..
系,xaoiih,4/~.系.饩.
气,qaeiih,4/-.气迄.憩.
题,tioih,2|~.题蹄啼..題鶗
活,huuuoh,2\\.活..
尔,aoeer,3/~.尔饵.迩.
更,geieehng,4-|.更..
别,bioieh,2|~.别..
打,deiaa,3-|.打..
女,nyoauu,3~/.女..
变,bueiaahn,4\-.变辩辨辫卞..變辯
四,sioiih,4|~.四嗣.兕.
神,shuoehn,2\~.神..
总,zuaoong,3\/.总..
何,haieh,2/|.何..
电,dioiaahn,4|~.电..蜔
数,shuauuh,4\/.数..
安,uuan,1\\.安..鴳
少,shiaaao,3|/.少..
报,beiaaoh,4-|.报抱..菢
才,ceiaih,2-|.才材裁..
结,jooieh,2~~.结..結
反,faaaan,3//.反返..
受,shauoouh,4/\.受..鏉
目,miouuh,4|~.目睦..
太,teaaaih,4-/.太态..
量,lioiaahng,4|~.量晾..
再,zeiaaih,4-|.再载..酨
感,geaaan,3-/.感..
建,joeiaahn,4~-.建..
务,waouuh,4/~.务勿..
做,zaiuooh,4/|.作做..
接,jeiie,1-|.接揭..菨
必,buoiih,4\~.必.裨.祕禆邲诐袐鴓
场,cheiaang,3-|.场..
件,jaiiaahn,4/|.件健.僭.
计,juoiih,4\~.计记..
管,gaeuaan,3/-.管..筦
期,qeii,1-|.期欺栖.萋桤.
市,shueiih,4\-.市..適試諡
直,zheiih,2-|.直职执植.摭絷埴.職
德,daaeh,2//.德..
资,zuei,1\-.资姿咨.粢.資秶諮
命,mauiihng,4/\.命..
山,shioan,1|~.山.跚.
金,jauin,1/\.金今..
指,zheiii,3-|.指址.酯芷枳.茝藢
克,keieeh,4-|.克..礊騍
许,xuouu,3\~.许.诩.
统,toooong,3~~.统..統綂
区,qeau,1-/.区..
保,baiaao,3/|.保堡..賲
至,zheoiih,4-~.至致.郅轾.
队,doiuiih,4~|.队..隊陮
形,xeeihng,2--.形型刑邢..
社,shuoeeh,4\~.社设..
便,baiiaahn,4/|.便..
空,kuuong,1\\.空..鵼
决,jueueh,2\-.决..訣
治,zhuuiih,4\\.治滞窒.忮.
展,zhoeaan,3~-.展..
马,mooaa,3~~.马..
科,kaee,1/-.科.稞钶.簻
司,soei,1~-.司..
五,weiuu,3-|.五捂..
基,jeii,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
眼,yioaan,3|~.眼.罨.蝘
书,shoou,1~~.书.纾.紓綀
非,fieei,1|-.非.蜚.
则,zioeh,2|~.则.啧帻.蠌
听,tioing,1|~.听..
白,baiaih,2/|.白..
却,qeiueeh,4-|.却鹊榷.悫.鵲
界,jioieeh,4|~.界.蚧骱.蛶
达,deaah,2-/.达..迏
光,giuuang,1|\.光..
放,fueaahng,4\-.放..
强,qoeiahng,2~-.强..
即,joeih,2~-.即..
像,xaiiaahng,4/|.向像..
难,nouahn,2~\.难..
且,qioiee,3|~.且..
权,qeiuahn,2-|.权颧醛.荃鬈.葲顴
思,sioi,1|~.思嘶.咝蛳.
王,weeahng,2--.王..
象,xaoiaahng,4/~.象..鱌
完,wuuahn,2\\.完..
设,shuoeeh,4\~.社设..
式,sheeiih,4--.式示..
色,saoeeh,4/~.色..
路,liouuh,4|~.路赂.鹭.睩賂鷺
记,juoiih,4\~.计记..
南,neiahn,2-|.南.楠.難
品,pioiin,3|~.品..
住,zhaiuuh,4/|.住.伫.
告,gaeaaoh,4/-.告.锆郜.
类,luaeeih,4\/.类..類
求,qeiiuh,2-|.求.裘逑.
据,jeiuuh,4-|.据聚拒.苣醵.
程,chaeehng,2/-.程乘.铖.
北,bieeei,3|-.北..
边,boaian,1~/.边..
死,seaii,3-/.死..
张,zhoeang,1~-.张..
该,guoai,1\~.该..
交,jueiao,1\-.交郊..
规,geeui,1--.规瑰..規鬶
万,weoaahn,4-~.万..
取,qeiuu,3-|.取娶..
拉,leia,1-|.拉垃..
格,geieh,2-|.格革葛.鬲塥.騔轕
望,wueaahng,4\-.望忘妄..
觉,juuueh,2\\.觉..
术,sheiuuh,4-|.术述树束..豎蒁鶐
领,lauiing,3/\.领..領
共,geioohng,4-|.共贡..貢
确,qeaueeh,4-/.确..確
传,chaiuahn,2/|.传..
师,shiai,1|/.师..
观,gouuan,1~\.观..
清,quuing,1\\.清..
今,jauin,1/\.金今..
切,qeoie,1-~.切..
院,yoiuaahn,4~|.院..
让,ruoaahng,4\~.让..
识,shuoih,2\~.识..祏
候,haioouh,4/|.候..
带,deiaaih,4-|.带戴.埭.
导,doeaao,3~-.导..
争,zhaoeng,1/~.争狰..
运,yeeuuhn,4--.运.韫.
笑,xaeiaaoh,4/-.笑..
飞,foaei,1~/.飞.妃.飛
风,faoeng,1/~.风..風
步,bieuuh,4|-.步..
改,goeaai,3~-.改..
收,shoiou,1~|.收..
根,geien,1-|.根..
干,geean,1--.干..
造,zaeaaoh,4/-.造..
言,yueahn,2\-.言颜..顏麣訮
联,leiiahn,2-|.联莲..連蓮聯鬑聫
持,cheiih,2-|.持.墀坻茌.馳
组,zoouu,3~~.组..組
每,maeeei,3/-.每镁..
济,juuiih,4\\.济寄寂悸.洎.
车,cheoe,1-~.车..
亲,quein,1\-.亲..親
极,jeiih,2-|.极吉藉棘.楫蒺蕺.鞊趌
林,leiihn,2-|.林..臨驎
服,faouh,2/~.服.匐凫.鮄
快,kuuuaaih,4\\.快..
办,boaaahn,4~/.办..
议,yuoiih,4\~.议译谊诣..袣褹
往,waaaang,3//.往..
元,yeeuahn,2--.元.鼋.黿
英,yeiing,1-|.英樱.莺撄.
士,sheiiih,4-|.事世士势誓逝拭柿.螫贳.
证,zhuoeehng,4\~.证.诤.
近,jaaiihn,4//.近..
失,shaei,1/-.失..
转,zheouaan,3-~.转..
夫,feeu,1--.夫.麸.
令,lauiihng,4/\.令..
准,zhueuun,3\-.准..
布,beauuh,4-/.不布..
始,shoaii,3~/.始..
怎,zaeeen,3/-.怎..
呢,nioehh,5|~.呢..
存,ceauhn,2-/.存..
未,weeeeih,4--.未..
远,yeeuaan,3--.远..
叫,jioiaaoh,4|~.叫.峤噍.覐
台,touaih,2~\.台.邰炱.
单,duaan,1\/.单郸..
影,yioiing,3|~.影.郢.
具,jiouuh,4|~.具距踞.瞿.
罗,liouoh,2|~.罗逻螺..羅邏
字,zuuiih,4\\.字渍..
爱,auaaih,4/\.爱..鑀
击,jeei,1--.击.玑.
流,luuiuh,2\\.流.浏鎏.
备,baoeeih,4/~.备惫狈..
兵,baiing,1/|.兵..
连,leoiahn,2-~.连..
调,duoiaaoh,4\~.调..
深,shuuen,1\\.深..
商,shueang,1\-.商..謪
算,saeuaahn,4/-.算..笇筭
质,zhaaiih,4//.质..質
团,tiouahn,2|~.团..
集,jaiih,2/|.集.佶.
百,beaaai,3-/.百..
需,xeuu,1-\.需..
价,jaiiaah,4/|.价..
花,heiua,1-|.花..
党,diuaang,3|\.党..黨
华,haiuah,2/|.华..
城,cheiehng,2-|.城橙.枨酲埕.
石,sheaih,2-/.石..
级,jooih,2~~.级..級
整,zheieeng,3-|.整拯..
府,fueuu,3\-.府腐..
离,lueih,2\-.离..離謧
况,kueuaahng,4\-.况.邝.鄺
亚,yeiaah,4-|.亚.揠.輵襾
请,quoiing,3\~.请..
技,jeiiih,4-|.技蓟.髻芰荠.繫蟿繋驥
际,joiiih,4~|.际..際
约,yooue,1~~.约..約
示,sheeiih,4--.式示..
复,faeuuh,4/-.复.馥.
病,bueiihng,4\-.病..竝
息,xaii,1/|.息.僖鼷.
究,juuiu,1\\.究..
线,xooiaahn,4~~.线..線
似,saiiih,4/|.似.俟.
官,guuuan,1\\.官..窤
火,huauoo,3\/.火..
断,duauaahn,4\/.断.煅.
精,juaing,1\/.精粳..
满,muuaan,3\\.满..
支,zheii,1-|.支枝芝.栀.鳷
视,shuoiih,4\~.视试.谥.視襫
消,xuuiao,1\\.消宵.潇.
越,yeiueeh,4-|.越.樾.趯軏
器,qioiih,4|~.器..
容,ruuohng,2\\.容溶..
照,zhioaaoh,4|~.照罩..
须,xaau,1//.须..須
九,jaoiuu,3/~.九久灸..
增,zeieng,1-|.增..
研,yeaahn,2-/.研..硏
写,xuoiee,3\~.写..
称,chaeeng,1/-.称.铛.稱
企,qauii,3/\.企..
八,baua,1/\.八..釟
功,geiong,1-|.工功攻恭..
吗,mioahh,5|~.吗嘛.蟆.
包,baoao,1/~.包胞..
片,paiiaahn,4/|.片..
史,shioii,3|~.史..
委,waeeei,3/-.委..
乎,hauu,1/\.乎..
查,cheiah,2-|.查茶茬搽.楂槎檫.
轻,qeoing,1-~.轻..
易,yioiih,4|~.易邑屹.呓蜴峄.睪蛡鶍螠
早,zioaao,3|~.早..
曾,cuaehng,2\/.曾..
除,choiuh,2~|.除..
农,nuoohng,2\~.农..襛
找,zheiaao,3-|.找..
装,zhueuang,1\-.装庄妆..
广,gueuaang,3\-.广..
显,xioiaan,3|~.显.蚬跣.顯蜆顕
吧,bioahh,5|~.吧..
阿,oia,1~|.阿..
李,leiii,3-|.李.醴逦.
标,beiiao,1-|.标.杓髟.藨
谈,tuoahn,2\~.谈谭..
吃,chioi,1|~.吃.嗤哧螭眵.
图,tiouh,2|~.图..
念,nauiaahn,4/\.念..
六,lueiuuh,4\-.六..
引,yoeiin,3~-.引尹..
历,leaiih,4-/.历厉励砾.砺.磿
首,shuaoou,3\/.首..
医,yeai,1-/.医.欹.醫鷖
局,joeuh,2~-.局..
突,tuuu,1\\.突..
专,zheeuan,1--.专..
费,foeeeih,4~-.费..費
号,hioaaoh,4|~.号.昊颢.號
尽,joeiihn,4~-.尽..盡賮
另,lioiihng,4|~.另..
周,zhaoou,1/~.周..週
较,jeoiaaoh,4-~.较轿..
注,zhuuuuh,4\\.注..
语,yuouu,3\~.语..祤
仅,jaiiin,3/|.仅..
考,keiaao,3-|.考拷.栲.
落,leiuooh,4-|.落.摞荦.茖
青,qeeing,1--.青..鶄
随,soiuih,2~|.随隋..隨
选,xaeuaan,3/-.选..
列,leaieeh,4-/.列烈裂..
武,weeuu,3--.武.鹉.
红,hooohng,2~~.红..紅纮紭紘
响,xioiaang,3|~.响..
虽,sioui,1|~.虽.睢眭.雖
推,teiui,1-|.推..藬蓷
势,sheiiih,4-|.事世士势誓逝拭柿.螫贳.
参,couan,1~\.参..
希,xaui,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
古,geiuu,3-|.古鼓贾.嘏瞽.盬糓
众,zhauoohng,4/\.众..
构,geioouh,4-|.构垢.彀.
房,fuoahng,2\~.房..
半,buaaahn,4\/.半..
节,jeiieh,2-|.节杰截捷劫桔.颉拮.蓵
土,teiuu,3-|.土..
投,teiouh,2-|.投..頭
某,meioou,3-|.某..
案,uuaahn,4\\.案..
黑,hioei,1|~.黑嘿..黒
维,wooeih,2~~.维..維
革,geieh,2-|.格革葛.鬲塥.騔轕
划,heouah,2-~.划..
敌,daeih,2/-.敌笛..篴
致,zheoiih,4-~.至致.郅轾.
陈,choiehn,2~|.陈..陳
律,lyaauuh,4//.律..
足,ziouh,2|~.足..
态,teaaaih,4-/.太态..
护,heiuuh,4-|.护..
七,qeoi,1-~.七妻..郪鶈
兴,xuuiihng,4\\.性兴.悻.
派,puuaaih,4\\.派湃..
孩,hoiaih,2~|.孩..
验,yooaahn,4~~.验..
责,zeeeh,2--.责..責
营,yeiihng,2-|.营莹荧萤.萦楹茔蓥.藀
星,xioing,1|~.星..
够,gaooouh,4/~.够..雊
章,zhueang,1\-.章彰.鄣.麞
音,yuein,1\-.音..
跟,gioen,1|~.跟..
志,zheiiih,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
底,dueii,3\-.底..
站,zhueaahn,4\-.站..
严,yeiahn,2-|.严盐.檐.鹽莚
巴,boia,1~|.巴..
例,laiiih,4/|.例俐傈.俪.
防,foiahng,2~|.防..
族,zueuh,2\-.族..
供,gaiong,1/|.供躬..
效,xueiaaoh,4\-.效..詨
续,xoouuh,4~~.续绪..續緒
施,shuei,1\-.施..詩
留,laoiuh,2/~.留馏.遛.鰡飗飀鹠
讲,juoiaang,3\~.讲..
型,xeeihng,2--.形型刑邢..
料,luaiaaoh,4\/.料..
终,zhooong,1~~.终..終
答,daeah,2/-.答.笪.
紧,jiiiin,3||.紧..
黄,heiuahng,2-|.黄..黃葟
绝,jooueh,2~~.绝..絕絶
奇,qeaih,2-/.奇..
察,chuuah,2\\.察..
母,moouu,3~~.母..
京,jueing,1\-.京.旌.麖
段,daiuaahn,4/|.段..
依,yaii,1/|.依伊..
批,peii,1-|.批披坯..
群,qoeuhn,2~-.群..
项,xeiiaahng,4-|.项巷橡..項
故,geiuuh,4-|.故.梏.
按,eiaahn,4-|.按..
河,huueh,2\\.河涸..
米,muaii,3\/.米.敉.粎
围,wioeih,2|~.围唯.帷嵬帏.
江,juuiang,1\\.江..
织,zhooi,1~~.织..織
害,huuaaih,4\\.害..
斗,duuoou,3\\.斗..
双,shouuang,1~\.双..
境,jeiiihng,4-|.境敬..
客,kuueeh,4\\.客.恪溘.
纪,jooiih,4~~.纪继绩.骥.繼紀
采,cauaai,3/\.采彩..
举,juuuu,3\\.举沮..
杀,shaua,1/\.杀刹..閷
攻,geiong,1-|.工功攻恭..
父,fauuuh,4/\.父..鍑
苏,seiu,1-|.苏酥..蘇蘓
密,muuiih,4\\.密蜜.宓汨.
低,daii,1/|.低..
朝,cheiaoh,2-|.朝..
友,yeaoou,3-/.有友..
诉,suouuh,4\~.诉.谡.
止,zhieii,3|-.止..
细,xooiih,4~~.细..細绤
愿,yeauaahn,4-/.愿..願
千,qaeian,1/-.千签迁铅钎..籤箞簽
值,zhaiih,2/|.值侄..
仍,raiehng,2/|.仍..
男,nioahn,2|~.男.喃.
钱,qaeiahn,2/-.钱钳.钤箝.
破,peaooh,4-/.破..
网,wioaang,3|~.网.罔.蝄
热,reieeh,4-|.热..
助,zhiouuh,4|~.助贮蛀..貯跓
倒,daiaao,3/|.倒..
育,yueuuh,4\-.育..袬
属,shoeuu,3~-.属..
坐,zauuooh,4/\.坐..
帝,dueiih,4\-.帝..諦
限,xoiiaahn,4~|.限陷..
船,chaauahn,2//.船.舡.
脸,laoiaan,3/~.脸..臉
职,zheiih,2-|.直职执植.摭絷埴.職
速,seiuuh,4-|.速粟.蔌.驌藗
刻,kueeeh,4\-.刻..課
乐,laoeeh,4/~.乐.鳓.
否,feaoou,3-/.否..
刚,gioang,1|~.刚冈.罡.
威,weaei,1-/.威..
毛,maeaoh,2/-.毛锚.牦.
状,zhueuaahng,4\-.状壮..
率,lyueuuh,4\-.率..
甚,sheieehn,4-|.甚.椹.腎
独,daouh,2/~.独..
球,qeeiuh,2--.球..
般,baaan,1//.般..
普,puauu,3\/.普..
怕,puuaah,4\\.怕..
弹,doeaahn,4~-.弹..饏
校,xeiiaaoh,4-|.校孝..
苦,keiuu,3-|.苦..
创,chauuaahng,4/\.创..
假,jaiiaa,3/|.假..
久,jaoiuu,3/~.九久灸..
错,caeuooh,4/-.错.锉.
承,choiehng,2~|.承.丞.
印,yaoiihn,4/~.印.胤.
晚,wioaan,3|~.晚.畹.
兰,luaahn,2\/.兰..
试,shuoiih,4\~.视试.谥.視襫
股,gaouu,3/~.股.臌.馉脵
拿,nauah,2/\.拿..
脑,naoaao,3/~.脑..腦脳
预,youuuh,4~\.预豫.鹬.預遹矞翑
谁,shuouih,2\~.谁..
益,yuaiih,4\/.义益.熠.義鷁
阳,yoiahng,2~|.阳..陽
若,reiuooh,4-|.若..蒻
哪,nioaa,3|~.哪..
微,waaei,1//.微..
尼,noeih,2~-.尼..
继,jooiih,4~~.纪继绩.骥.繼紀
送,suaoohng,4\/.送..
急,jaoih,2/~.及急..脨
血,xaiueeh,4/|.血..
惊,juuing,1\\.惊.泾.
伤,shaiang,1/|.伤..
素,seeuuh,4--.素..
药,yeiaaoh,4-|.要药..藥靿葯
适,shaeiih,4/-.适.舐筮铈.籂
波,buuo,1\\.波..
夜,yueeeh,4\-.夜..
省,shiaeeng,3|/.省..
初,chuou,1\~.初..
喜,xeiii,3-|.喜.葸蓰.
卫,woieeih,4~|.卫..
源,yuuuahn,2\\.源.沅.
食,shauih,2/\.食..鉐蝕鉽
险,xoiiaan,3~|.险..險
待,daaaaih,4//.待..艜
述,sheiuuh,4-|.术述树束..豎蒁鶐
陆,loiuuh,4~|.陆..陸
习,xouih,2~\.习..習
置,zhioiih,4|~.置帜峙.蛭帙踬.跱
居,joeu,1~-.居..
劳,leiaoh,2-|.劳.醪.
财,cioaih,2|~.财..財
环,heeuahn,2--.环..
排,peiaih,2-|.排..
福,fuouh,2\~.福袱.祓.複
纳,nooaah,4~~.纳..納
欢,houuan,1~\.欢..
雷,leueih,2-\.雷..
警,jeiiing,3-|.警..蟼
获,heiuooh,4-|.或获惑.藿.
模,meioh,2-|.模摹蘑..謩
充,chueong,1\-.充冲..
负,faouuh,4/~.负腹.鲋鳆.負
云,yeeuhn,2--.云耘..
停,taiihng,2/|.停..鼮
木,meiuuh,4-|.木幕墓慕募暮.苜.
游,yuuouh,2\\.游油..
龙,leaohng,2-/.龙聋.砻.龓
树,sheiuuh,4-|.术述树束..豎蒁鶐
疑,yaoih,2/~.疑胰.饴.迻
层,coeehng,2~-.层..
冷,lueeeng,3\-.冷..
洲,zhuuou,1\\.洲..
冲,chueong,1\-.充冲..
射,shaieeh,4/|.射..
略,lyioueeh,4|~.略..
范,feiaahn,4-|.范.梵.軓
竟,jueiihng,4\-.竟竞净靖痉..競竸
句,jaouuh,4/~.句.飓.
室,shuuiih,4\\.室恃..
异,yoeiih,4~-.异..
激,juui,1\\.激..
汉,huuaahn,4\\.汉汗憾悍.瀚.
村,ceiun,1-|.村..
哈,hioa,1|~.哈..
策,caeeeh,4/-.策..箣
演,yuuaan,3\\.演..
简,jaeiaan,3/-.简.锏笕.簡
卡,kieaa,3|-.卡..
罪,ziouiih,4|~.最罪..
判,puaaahn,4\/.判叛..
担,deian,1-|.担耽.聃.酖聸
州,zhuaou,1\/.州..
静,jeeiihng,4--.静.靓.靜
退,toeuiih,4~-.退..
既,joeiih,4~-.既忌.暨.鵋鱀
衣,yuei,1\-.衣..
您,naiihn,2/|.您.恁.
宗,zuuong,1\\.宗..
积,jaei,1/-.积稽箕.嵇犄笄.積稘
余,yauuh,2/\.余逾俞.觎.餘貗釪
痛,tueoohng,4\-.痛..
检,jeiiaan,3-|.检捡拣柬茧.戬枧.鬋醎
差,chuaaah,4\/.差..
富,fuuuuh,4\\.富..
灵,loeihng,2~-.灵..
协,xeiieh,2-|.协鞋携.撷.
角,jaoiaao,3/~.角脚狡饺..腳
占,zhiean,1|-.占..
配,peieeih,4-|.配..茷
征,zhaaeng,1//.征.徵.
修,xaiiu,1/|.修休.鸺.鵂
皮,poaih,2~/.皮..
挥,heiui,1-|.挥..
胜,shaoeehng,4/~.胜..賸
降,joiiaahng,4~|.降..
阶,joiie,1~|.阶..階
审,shuueen,3\\.审沈.渖.
沉,chuuehn,2\\.沉忱.宸.
坚,jiiian,1||.坚监..
善,shuaaahn,4\/.善.鄯剡.
妈,moaa,1~/.妈.嬷.
刘,lueiuh,2\-.刘瘤.旒.
读,duouh,2\~.读..
啊,ioahh,5|~.啊..
超,cheiao,1-|.超抄..
免,maoiaan,3/~.免勉.腼.
压,yeaa,1-/.压..
银,yaeihn,2/-.银..
买,mouaai,3~\.买..
皇,haiuahng,2/|.皇.遑.
养,yuaaang,3\/.养..養
伊,yaii,1/|.依伊..
怀,huuuaih,2\\.怀淮..
执,zheiih,2-|.直职执植.摭絷埴.職
副,feiuuh,4-|.副覆赴..蕧
乱,laeuaahn,4/-.乱..
抗,keiaahng,4-|.抗..
犯,faoaahn,4/~.犯饭..
追,zhaiui,1/|.追.隹.
帮,beeang,1--.帮邦..邫
宣,xuuuan,1\\.宣..翧
佛,faioh,2/|.佛..
岁,siouiih,4|~.岁..
航,haaahng,2//.航..
优,yaiou,1/|.优悠.攸.
怪,guuuaaih,4\\.怪..
香,xaeiang,1/-.香箱镶..
著,zheiuuh,4-|.著柱.杼苎翥.苧駐
田,tioiahn,2|~.田.畋.瞋鴫
铁,taeiee,3/-.铁..
控,keioohng,4-|.控..鞚
税,shaeuiih,4/-.税..稅
左,zeauoo,3-/.左..
右,yeaoouh,4-/.右..
份,faieehn,4/|.份.偾.
穿,chuuuan,1\\.穿..
