的,daihe,5/|.的..
合,haure,2/\.合盒.颌.龢頜
回,hiorui,2|~.回蛔..迴
特,taeye,4/-.特.铽.
代,daiyai,4/|.代袋贷.黛岱.貸
内,nioyei,4|~.内..
信,xaiyin,4/|.信衅.囟.舋
表,beviao,3--.表..
化,haiyua,4/|.化..
老,leivao,3-|.老.栳.荖
给,govei,3~~.给..給
世,sheiyi,4-|.事世士势誓逝拭柿.螫贳.
位,waiyei,4/|.位..
次,cueyi,4\-.次..
度,dueyu,4\-.度..詫
门,muiren,2\|.门..
任,raiyen,4/|.任.仞.
常,chiurang,2|\.常尝..
先,xaewian,1/-.先锨.氙.
海,huvai,3\\.海..
通,touwong,1~\.通..
教,jeiwiao,1-|.教蕉椒.艽茭.萩轇驕
儿,aorer,2/~.儿.鲕.胹
原,yearuan,2-/.原..
东,deowong,1-~.东.鸫.
声,sheiweng,1-|.声..聲苼
提,teiri,2-|.提.醍荑.趧騠蕛
立,lueyi,4\-.立痢.疠疬.麜讈
及,jaori,2/~.及急..脨
比,beovi,3-~.比..粊
员,yioruan,2|~.员园圆.螈.
解,jaovie,3/~.解..
水,shiovui,3|~.水..
名,maoring,2/~.名..
真,zheiwen,1-|.真斟甄.桢榛蓁.
论,luoyun,4\~.论..
处,chaoyu,4/~.处触..觸臅
走,zeivou,3-|.走..
义,yuayi,4\/.义益.熠.義鷁
各,gaoye,4/~.各..
入,rauyu,4/\.入..鳰込
几,jaowi,1/~.几肌饥..觭
口,kiovou,3|~.口..
认,ruoyen,4\~.认.衽.袵讱
条,taoriao,2/~.条.鲦.鰷
平,peuring,2-\.平..
系,xaoyi,4/~.系.饩.
气,qaeyi,4/-.气迄.憩.
题,tiori,2|~.题蹄啼..題鶗
活,huruo,2\\.活..
尔,aover,3/~.尔饵.迩.
更,geiyeng,4-|.更..
别,biorie,2|~.别..
打,deiva,3-|.打..
女,nyoavu,3~/.女..
变,bueyian,4\-.变辩辨辫卞..變辯
四,sioyi,4|~.四嗣.兕.
神,shuoren,2\~.神..
总,zuavong,3\/.总..
何,haire,2/|.何..
电,dioyian,4|~.电..蜔
数,shuayu,4\/.数..
安,uwan,1\\.安..鴳
少,shiavao,3|/.少..
报,beiyao,4-|.报抱..菢
才,ceirai,2-|.才材裁..
结,jorie,2~~.结..結
反,favan,3//.反返..
受,shauyou,4/\.受..鏉
目,mioyu,4|~.目睦..
太,teayai,4-/.太态..
量,lioyiang,4|~.量晾..
再,zeiyai,4-|.再载..酨
感,geavan,3-/.感..
建,joeyian,4~-.建..
务,waoyu,4/~.务勿..
做,zaiyuo,4/|.作做..
接,jeiwie,1-|.接揭..菨
必,buoyi,4\~.必.裨.祕禆邲诐袐鴓
场,cheivang,3-|.场..
件,jaiyian,4/|.件健.僭.
计,juoyi,4\~.计记..
管,gaevuan,3/-.管..筦
期,qeiwi,1-|.期欺栖.萋桤.
市,shueyi,4\-.市..適試諡
直,zheiri,2-|.直职执植.摭絷埴.職
德,dare,2//.德..
资,zuewi,1\-.资姿咨.粢.資秶諮
命,mauying,4/\.命..
山,shiowan,1|~.山.跚.
金,jauwin,1/\.金今..
指,zheivi,3-|.指址.酯芷枳.茝藢
克,keiye,4-|.克..礊騍
许,xuovu,3\~.许.诩.
统,tovong,3~~.统..統綂
区,qeawu,1-/.区..
保,baivao,3/|.保堡..賲
至,zheoyi,4-~.至致.郅轾.
队,doiyui,4~|.队..隊陮
形,xering,2--.形型刑邢..
社,shuoye,4\~.社设..
便,baiyian,4/|.便..
空,kuwong,1\\.空..鵼
决,juerue,2\-.决..訣
治,zhuyi,4\\.治滞窒.忮.
展,zhoevan,3~-.展..
马,mova,3~~.马..
科,kaewe,1/-.科.稞钶.簻
司,soewi,1~-.司..
五,weivu,3-|.五捂..
基,jeiwi,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
眼,yiovan,3|~.眼.罨.蝘
书,showu,1~~.书.纾.紓綀
非,fiewei,1|-.非.蜚.
则,ziore,2|~.则.啧帻.蠌
听,tiowing,1|~.听..
白,bairai,2/|.白..
却,qeiyue,4-|.却鹊榷.悫.鵲
界,jioyie,4|~.界.蚧骱.蛶
达,deara,2-/.达..迏
光,giuwuang,1|\.光..
放,fueyang,4\-.放..
强,qoeriang,2~-.强..
即,joeri,2~-.即..
像,xaiyiang,4/|.向像..
难,nouran,2~\.难..
且,qiovie,3|~.且..
权,qeiruan,2-|.权颧醛.荃鬈.葲顴
思,siowi,1|~.思嘶.咝蛳.
王,werang,2--.王..
象,xaoyiang,4/~.象..鱌
完,wuran,2\\.完..
设,shuoye,4\~.社设..
式,sheyi,4--.式示..
色,saoye,4/~.色..
路,lioyu,4|~.路赂.鹭.睩賂鷺
记,juoyi,4\~.计记..
南,neiran,2-|.南.楠.難
品,piovin,3|~.品..
住,zhaiyu,4/|.住.伫.
告,gaeyao,4/-.告.锆郜.
类,luayei,4\/.类..類
求,qeiriu,2-|.求.裘逑.
据,jeiyu,4-|.据聚拒.苣醵.
程,chaereng,2/-.程乘.铖.
北,bievei,3|-.北..
边,boawian,1~/.边..
死,seavi,3-/.死..
张,zhoewang,1~-.张..
该,guowai,1\~.该..
交,juewiao,1\-.交郊..
规,gewui,1--.规瑰..規鬶
万,weoyan,4-~.万..
取,qeivu,3-|.取娶..
拉,leiwa,1-|.拉垃..
格,geire,2-|.格革葛.鬲塥.騔轕
望,wueyang,4\-.望忘妄..
觉,jurue,2\\.觉..
术,sheiyu,4-|.术述树束..豎蒁鶐
领,lauving,3/\.领..領
共,geiyong,4-|.共贡..貢
确,qeayue,4-/.确..確
传,chairuan,2/|.传..
师,shiawi,1|/.师..
观,gouwuan,1~\.观..
清,quwing,1\\.清..
今,jauwin,1/\.金今..
切,qeowie,1-~.切..
院,yoiyuan,4~|.院..
让,ruoyang,4\~.让..
识,shuori,2\~.识..祏
候,haiyou,4/|.候..
带,deiyai,4-|.带戴.埭.
导,doevao,3~-.导..
争,zhaoweng,1/~.争狰..
运,yeyun,4--.运.韫.
笑,xaeyiao,4/-.笑..
飞,foawei,1~/.飞.妃.飛
风,faoweng,1/~.风..風
步,bieyu,4|-.步..
改,goevai,3~-.改..
收,shoiwou,1~|.收..
根,geiwen,1-|.根..
干,gewan,1--.干..
造,zaeyao,4/-.造..
言,yueran,2\-.言颜..顏麣訮
联,leirian,2-|.联莲..連蓮聯鬑聫
持,cheiri,2-|.持.墀坻茌.馳
组,zovu,3~~.组..組
每,maevei,3/-.每镁..
济,juyi,4\\.济寄寂悸.洎.
车,cheowe,1-~.车..
亲,quewin,1\-.亲..親
极,jeiri,2-|.极吉藉棘.楫蒺蕺.鞊趌
林,leirin,2-|.林..臨驎
服,faoru,2/~.服.匐凫.鮄
快,kuyuai,4\\.快..
办,boayan,4~/.办..
议,yuoyi,4\~.议译谊诣..袣褹
往,wavang,3//.往..
元,yeruan,2--.元.鼋.黿
英,yeiwing,1-|.英樱.莺撄.
士,sheiyi,4-|.事世士势誓逝拭柿.螫贳.
证,zhuoyeng,4\~.证.诤.
近,jayin,4//.近..
失,shaewi,1/-.失..
转,zheovuan,3-~.转..
夫,fewu,1--.夫.麸.
令,lauying,4/\.令..
准,zhuevun,3\-.准..
布,beayu,4-/.不布..
始,shoavi,3~/.始..
怎,zaeven,3/-.怎..
呢,niohe,5|~.呢..
存,cearun,2-/.存..
未,weyei,4--.未..
远,yevuan,3--.远..
叫,jioyiao,4|~.叫.峤噍.覐
台,tourai,2~\.台.邰炱.
单,duawan,1\/.单郸..
影,yioving,3|~.影.郢.
具,jioyu,4|~.具距踞.瞿.
罗,lioruo,2|~.罗逻螺..羅邏
字,zuyi,4\\.字渍..
爱,auyai,4/\.爱..鑀
击,jewi,1--.击.玑.
流,luriu,2\\.流.浏鎏.
备,baoyei,4/~.备惫狈..
兵,baiwing,1/|.兵..
连,leorian,2-~.连..
调,duoyiao,4\~.调..
深,shuwen,1\\.深..
商,shuewang,1\-.商..謪
算,saeyuan,4/-.算..笇筭
质,zhayi,4//.质..質
团,tioruan,2|~.团..
集,jairi,2/|.集.佶.
百,beavai,3-/.百..
需,xeuwu,1-\.需..
价,jaiyia,4/|.价..
花,heiwua,1-|.花..
党,diuvang,3|\.党..黨
华,hairua,2/|.华..
城,cheireng,2-|.城橙.枨酲埕.
石,sheari,2-/.石..
级,jori,2~~.级..級
整,zheiveng,3-|.整拯..
府,fuevu,3\-.府腐..
离,lueri,2\-.离..離謧
况,kueyuang,4\-.况.邝.鄺
亚,yeiya,4-|.亚.揠.輵襾
请,quoving,3\~.请..
技,jeiyi,4-|.技蓟.髻芰荠.繫蟿繋驥
际,joiyi,4~|.际..際
约,yowue,1~~.约..約
示,sheyi,4--.式示..
复,faeyu,4/-.复.馥.
病,bueying,4\-.病..竝
息,xaiwi,1/|.息.僖鼷.
究,juwiu,1\\.究..
线,xoyian,4~~.线..線
似,saiyi,4/|.似.俟.
官,guwuan,1\\.官..窤
火,huavuo,3\/.火..
断,duayuan,4\/.断.煅.
精,juawing,1\/.精粳..
满,muvan,3\\.满..
支,zheiwi,1-|.支枝芝.栀.鳷
视,shuoyi,4\~.视试.谥.視襫
消,xuwiao,1\\.消宵.潇.
越,yeiyue,4-|.越.樾.趯軏
器,qioyi,4|~.器..
容,rurong,2\\.容溶..
照,zhioyao,4|~.照罩..
须,xawu,1//.须..須
九,jaoviu,3/~.九久灸..
增,zeiweng,1-|.增..
研,yearan,2-/.研..硏
写,xuovie,3\~.写..
称,chaeweng,1/-.称.铛.稱
企,qauvi,3/\.企..
八,bauwa,1/\.八..釟
功,geiwong,1-|.工功攻恭..
吗,mioha,5|~.吗嘛.蟆.
包,baowao,1/~.包胞..
片,paiyian,4/|.片..
史,shiovi,3|~.史..
委,waevei,3/-.委..
乎,hauwu,1/\.乎..
查,cheira,2-|.查茶茬搽.楂槎檫.
轻,qeowing,1-~.轻..
易,yioyi,4|~.易邑屹.呓蜴峄.睪蛡鶍螠
早,ziovao,3|~.早..
曾,cuareng,2\/.曾..
除,choiru,2~|.除..
农,nuorong,2\~.农..襛
找,zheivao,3-|.找..
装,zhuewuang,1\-.装庄妆..
广,guevuang,3\-.广..
显,xiovian,3|~.显.蚬跣.顯蜆顕
吧,bioha,5|~.吧..
阿,oiwa,1~|.阿..
李,leivi,3-|.李.醴逦.
标,beiwiao,1-|.标.杓髟.藨
谈,tuoran,2\~.谈谭..
吃,chiowi,1|~.吃.嗤哧螭眵.
图,tioru,2|~.图..
念,nauyian,4/\.念..
六,lueyiu,4\-.六..
引,yoevin,3~-.引尹..
历,leayi,4-/.历厉励砾.砺.磿
首,shuavou,3\/.首..
医,yeawi,1-/.医.欹.醫鷖
局,joeru,2~-.局..
突,tuwu,1\\.突..
专,zhewuan,1--.专..
费,foeyei,4~-.费..費
号,hioyao,4|~.号.昊颢.號
尽,joeyin,4~-.尽..盡賮
另,lioying,4|~.另..
周,zhaowou,1/~.周..週
较,jeoyiao,4-~.较轿..
注,zhuyu,4\\.注..
语,yuovu,3\~.语..祤
仅,jaivin,3/|.仅..
考,keivao,3-|.考拷.栲.
落,leiyuo,4-|.落.摞荦.茖
青,qewing,1--.青..鶄
随,soirui,2~|.随隋..隨
选,xaevuan,3/-.选..
列,leayie,4-/.列烈裂..
武,wevu,3--.武.鹉.
红,horong,2~~.红..紅纮紭紘
响,xioviang,3|~.响..
虽,siowui,1|~.虽.睢眭.雖
推,teiwui,1-|.推..藬蓷
势,sheiyi,4-|.事世士势誓逝拭柿.螫贳.
参,couwan,1~\.参..
希,xauwi,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
古,geivu,3-|.古鼓贾.嘏瞽.盬糓
众,zhauyong,4/\.众..
构,geiyou,4-|.构垢.彀.
房,fuorang,2\~.房..
半,buayan,4\/.半..
节,jeirie,2-|.节杰截捷劫桔.颉拮.蓵
土,teivu,3-|.土..
投,teirou,2-|.投..頭
某,meivou,3-|.某..
案,uyan,4\\.案..
黑,hiowei,1|~.黑嘿..黒
维,worei,2~~.维..維
革,geire,2-|.格革葛.鬲塥.騔轕
划,heorua,2-~.划..
敌,daeri,2/-.敌笛..篴
致,zheoyi,4-~.至致.郅轾.
陈,choiren,2~|.陈..陳
律,lyayu,4//.律..
足,zioru,2|~.足..
态,teayai,4-/.太态..
护,heiyu,4-|.护..
七,qeowi,1-~.七妻..郪鶈
兴,xuying,4\\.性兴.悻.
派,puyai,4\\.派湃..
孩,hoirai,2~|.孩..
验,yoyan,4~~.验..
责,zere,2--.责..責
营,yeiring,2-|.营莹荧萤.萦楹茔蓥.藀
星,xiowing,1|~.星..
够,gaoyou,4/~.够..雊
章,zhuewang,1\-.章彰.鄣.麞
音,yuewin,1\-.音..
跟,giowen,1|~.跟..
志,zheiyi,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
底,duevi,3\-.底..
站,zhueyan,4\-.站..
严,yeiran,2-|.严盐.檐.鹽莚
巴,boiwa,1~|.巴..
例,laiyi,4/|.例俐傈.俪.
防,foirang,2~|.防..
族,zueru,2\-.族..
供,gaiwong,1/|.供躬..
效,xueyiao,4\-.效..詨
续,xoyu,4~~.续绪..續緒
施,shuewi,1\-.施..詩
留,laoriu,2/~.留馏.遛.鰡飗飀鹠
讲,juoviang,3\~.讲..
型,xering,2--.形型刑邢..
料,luayiao,4\/.料..
终,zhowong,1~~.终..終
答,daera,2/-.答.笪.
紧,jivin,3||.紧..
黄,heiruang,2-|.黄..黃葟
绝,jorue,2~~.绝..絕絶
奇,qeari,2-/.奇..
察,chura,2\\.察..
母,movu,3~~.母..
京,juewing,1\-.京.旌.麖
段,daiyuan,4/|.段..
依,yaiwi,1/|.依伊..
批,peiwi,1-|.批披坯..
群,qoerun,2~-.群..
项,xeiyiang,4-|.项巷橡..項
故,geiyu,4-|.故.梏.
按,eiyan,4-|.按..
河,hure,2\\.河涸..
米,muavi,3\/.米.敉.粎
围,wiorei,2|~.围唯.帷嵬帏.
江,juwiang,1\\.江..
织,zhowi,1~~.织..織
害,huyai,4\\.害..
斗,duvou,3\\.斗..
双,shouwuang,1~\.双..
境,jeiying,4-|.境敬..
客,kuye,4\\.客.恪溘.
纪,joyi,4~~.纪继绩.骥.繼紀
采,cauvai,3/\.采彩..
举,juvu,3\\.举沮..
杀,shauwa,1/\.杀刹..閷
攻,geiwong,1-|.工功攻恭..
父,fauyu,4/\.父..鍑
苏,seiwu,1-|.苏酥..蘇蘓
密,muyi,4\\.密蜜.宓汨.
低,daiwi,1/|.低..
朝,cheirao,2-|.朝..
友,yeavou,3-/.有友..
诉,suoyu,4\~.诉.谡.
止,zhievi,3|-.止..
细,xoyi,4~~.细..細绤
愿,yeayuan,4-/.愿..願
千,qaewian,1/-.千签迁铅钎..籤箞簽
值,zhairi,2/|.值侄..
仍,raireng,2/|.仍..
男,nioran,2|~.男.喃.
钱,qaerian,2/-.钱钳.钤箝.
破,peayo,4-/.破..
网,wiovang,3|~.网.罔.蝄
热,reiye,4-|.热..
助,zhioyu,4|~.助贮蛀..貯跓
倒,daivao,3/|.倒..
育,yueyu,4\-.育..袬
属,shoevu,3~-.属..
坐,zauyuo,4/\.坐..
帝,dueyi,4\-.帝..諦
限,xoiyian,4~|.限陷..
船,charuan,2//.船.舡.
脸,laovian,3/~.脸..臉
职,zheiri,2-|.直职执植.摭絷埴.職
速,seiyu,4-|.速粟.蔌.驌藗
刻,kueye,4\-.刻..課
乐,laoye,4/~.乐.鳓.
否,feavou,3-/.否..
刚,giowang,1|~.刚冈.罡.
威,weawei,1-/.威..
毛,maerao,2/-.毛锚.牦.
状,zhueyuang,4\-.状壮..
率,lyueyu,4\-.率..
甚,sheiyen,4-|.甚.椹.腎
独,daoru,2/~.独..
球,qeriu,2--.球..
般,bawan,1//.般..
普,puavu,3\/.普..
怕,puya,4\\.怕..
弹,doeyan,4~-.弹..饏
校,xeiyiao,4-|.校孝..
苦,keivu,3-|.苦..
创,chauyuang,4/\.创..
假,jaivia,3/|.假..
久,jaoviu,3/~.九久灸..
错,caeyuo,4/-.错.锉.
承,choireng,2~|.承.丞.
印,yaoyin,4/~.印.胤.
晚,wiovan,3|~.晚.畹.
兰,luaran,2\/.兰..
试,shuoyi,4\~.视试.谥.視襫
股,gaovu,3/~.股.臌.馉脵
拿,naura,2/\.拿..
脑,naovao,3/~.脑..腦脳
预,youyu,4~\.预豫.鹬.預遹矞翑
谁,shuorui,2\~.谁..
益,yuayi,4\/.义益.熠.義鷁
阳,yoirang,2~|.阳..陽
若,reiyuo,4-|.若..蒻
哪,niova,3|~.哪..
微,wawei,1//.微..
尼,noeri,2~-.尼..
继,joyi,4~~.纪继绩.骥.繼紀
送,suayong,4\/.送..
急,jaori,2/~.及急..脨
血,xaiyue,4/|.血..
惊,juwing,1\\.惊.泾.
伤,shaiwang,1/|.伤..
素,seyu,4--.素..
药,yeiyao,4-|.要药..藥靿葯
适,shaeyi,4/-.适.舐筮铈.籂
波,buwo,1\\.波..
夜,yueye,4\-.夜..
省,shiaveng,3|/.省..
初,chuowu,1\~.初..
喜,xeivi,3-|.喜.葸蓰.
卫,woiyei,4~|.卫..
源,yuruan,2\\.源.沅.
食,shauri,2/\.食..鉐蝕鉽
险,xoivian,3~|.险..險
待,dayai,4//.待..艜
述,sheiyu,4-|.术述树束..豎蒁鶐
陆,loiyu,4~|.陆..陸
习,xouri,2~\.习..習
置,zhioyi,4|~.置帜峙.蛭帙踬.跱
居,joewu,1~-.居..
劳,leirao,2-|.劳.醪.
财,ciorai,2|~.财..財
环,heruan,2--.环..
排,peirai,2-|.排..
福,fuoru,2\~.福袱.祓.複
纳,noya,4~~.纳..納
欢,houwuan,1~\.欢..
雷,leurei,2-\.雷..
警,jeiving,3-|.警..蟼
获,heiyuo,4-|.或获惑.藿.
模,meiro,2-|.模摹蘑..謩
充,chuewong,1\-.充冲..
负,faoyu,4/~.负腹.鲋鳆.負
云,yerun,2--.云耘..
停,tairing,2/|.停..鼮
木,meiyu,4-|.木幕墓慕募暮.苜.
游,yurou,2\\.游油..
龙,learong,2-/.龙聋.砻.龓
树,sheiyu,4-|.术述树束..豎蒁鶐
疑,yaori,2/~.疑胰.饴.迻
层,coereng,2~-.层..
冷,lueveng,3\-.冷..
洲,zhuwou,1\\.洲..
冲,chuewong,1\-.充冲..
射,shaiye,4/|.射..
略,lyioyue,4|~.略..
范,feiyan,4-|.范.梵.軓
竟,jueying,4\-.竟竞净靖痉..競竸
句,jaoyu,4/~.句.飓.
室,shuyi,4\\.室恃..
异,yoeyi,4~-.异..
激,juwi,1\\.激..
汉,huyan,4\\.汉汗憾悍.瀚.
村,ceiwun,1-|.村..
哈,hiowa,1|~.哈..
策,caeye,4/-.策..箣
演,yuvan,3\\.演..
简,jaevian,3/-.简.锏笕.簡
卡,kieva,3|-.卡..
罪,zioyui,4|~.最罪..
判,puayan,4\/.判叛..
担,deiwan,1-|.担耽.聃.酖聸
州,zhuawou,1\/.州..
静,jeying,4--.静.靓.靜
退,toeyui,4~-.退..
既,joeyi,4~-.既忌.暨.鵋鱀
衣,yuewi,1\-.衣..
您,nairin,2/|.您.恁.
宗,zuwong,1\\.宗..
积,jaewi,1/-.积稽箕.嵇犄笄.積稘
余,yauru,2/\.余逾俞.觎.餘貗釪
痛,tueyong,4\-.痛..
检,jeivian,3-|.检捡拣柬茧.戬枧.鬋醎
差,chuaya,4\/.差..
富,fuyu,4\\.富..
灵,loering,2~-.灵..
协,xeirie,2-|.协鞋携.撷.
角,jaoviao,3/~.角脚狡饺..腳
占,zhiewan,1|-.占..
配,peiyei,4-|.配..茷
征,zhaweng,1//.征.徵.
修,xaiwiu,1/|.修休.鸺.鵂
皮,poari,2~/.皮..
挥,heiwui,1-|.挥..
胜,shaoyeng,4/~.胜..賸
降,joiyiang,4~|.降..
阶,joiwie,1~|.阶..階
审,shuven,3\\.审沈.渖.
沉,churen,2\\.沉忱.宸.
坚,jiwian,1||.坚监..
善,shuayan,4\/.善.鄯剡.
妈,moawa,1~/.妈.嬷.
刘,lueriu,2\-.刘瘤.旒.
读,duoru,2\~.读..
啊,ioha,5|~.啊..
超,cheiwao,1-|.超抄..
免,maovian,3/~.免勉.腼.
压,yeawa,1-/.压..
银,yaerin,2/-.银..
买,mouvai,3~\.买..
皇,hairuang,2/|.皇.遑.
养,yuavang,3\/.养..養
伊,yaiwi,1/|.依伊..
怀,huruai,2\\.怀淮..
执,zheiri,2-|.直职执植.摭絷埴.職
副,feiyu,4-|.副覆赴..蕧
乱,laeyuan,4/-.乱..
抗,keiyang,4-|.抗..
犯,faoyan,4/~.犯饭..
追,zhaiwui,1/|.追.隹.
帮,bewang,1--.帮邦..邫
宣,xuwuan,1\\.宣..翧
佛,fairo,2/|.佛..
岁,sioyui,4|~.岁..
航,harang,2//.航..
优,yaiwou,1/|.优悠.攸.
怪,guyuai,4\\.怪..
香,xaewiang,1/-.香箱镶..
著,zheiyu,4-|.著柱.杼苎翥.苧駐
田,tiorian,2|~.田.畋.瞋鴫
铁,taevie,3/-.铁..
控,keiyong,4-|.控..鞚
税,shaeyui,4/-.税..稅
左,zeavuo,3-/.左..
右,yeayou,4-/.右..
份,faiyen,4/|.份.偾.
穿,chuwuan,1\\.穿..
艺,yeiyi,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
背,bieyei,4|-.背辈.邶.輩
阵,zhoiyen,4~|.阵..陣
草,ceivao,3-|.草..
脚,jaoviao,3/~.角脚狡饺..腳
概,geiyai,4-|.概.丐.蓋葢
恶,eiye,4-|.恶扼.噩萼垩苊.蕚軛蘁
块,keiyuai,4-|.块..駃
顿,deoyun,4-~.顿..頓
敢,goevan,3~-.敢..
守,shuvou,3\\.守..
酒,juviu,3\\.酒..
岛,daovao,3/~.岛..
托,teiwuo,1-|.托拖..
央,yiowang,1|~.央鸯..鴦眏
户,huoyu,4\~.户.扈祜戽.
烈,leayie,4-/.列烈裂..
洋,yurang,2\\.洋..
哥,geiwe,1-|.哥歌搁.圪.
索,seivuo,3-|.索..
胡,heiru,2-|.胡壶葫.鹕槲觳醐.縠
款,keivuan,3-|.款..
靠,kaeyao,4/-.靠.铐犒.
评,puoring,2\~.评..
版,baivan,3/|.版..
宝,buvao,3\\.宝..
